GRB	z	dhour	Flux	Fluxerr	filter
160624A	0.483	0.7667	0.2507	0	r*
160624A	0.483	3.9	25.07	0	g*
160624A	0.483	3.9	29.86	0	Rc
160624A	0.483	3.9	50.48	0	I
160624A	0.483	6	5.238	0	r*
160624A	0.483	0.0214	9.102	0	uvwhite
160624A	0.483	0.0802	16.26	0	uvu
160624A	0.483	0.0214	4.777	0	uvwhite
160624A	0.483	1.4056	61.82	0	uvv
160624A	0.483	1.2347	22.65	0	uvb
160624A	0.483	0.0802	8.534	0	uvu
160624A	0.483	1.5197	4.397	0	uvw1
160624A	0.483	1.4628	3.657	0	uvm2
160624A	0.483	1.3486	5.095	0	uvw2
170428A	0.454	10.16	13.13	0	R
170428A	0.454	0.2056	38.57	0	uvv
170428A	0.454	0.2328	16.99	0	uvb
170428A	0.454	0.2258	25.48	0	uvu
170428A	0.454	0.2192	14.39	0	uvw1
170428A	0.454	0.2122	6.283	0	uvm2
170428A	0.454	1.22	6.64	0	uvw2
170428A	0.454	1.0667	10.82	0.4112	g*
170428A	0.454	1.0667	11.86	0.4509	r*
170428A	0.454	1.0667	14.26	0.5421	i*
170428A	0.454	1.0667	14.26	0.5421	z*
170428A	0.454	1.0667	8.754	1.209	J
170428A	0.454	1.0667	4.68	1.724	H
170428A	0.454	1.0667	7.417	0	Ks
170428A	0.454	25.47	4.723	0	r*
170428A	0.454	25.47	5.678	2.092	i*
170428A	0.454	25.47	10.33	0	Zg
170428A	0.454	25.47	12.77	0	Y
170428A	0.454	25.47	15.21	0	J
170428A	0.454	25.47	11.75	0	H
170428A	0.454	0.0153	329.8	0	R
170428A	0.454	0.0314	173.1	0	R
170428A	0.454	0.0675	68.9	0	R
170428A	0.454	26.4	5.178	0.7154	i*
170428A	0.454	66.96	5.678	0.2158	i*
170428A	0.454	67.44	6.827	0.2595	z*
170428A	0.454	13.625	2.743	0.3789	R
150424A	0.3	1.6	32.97	8.183	R
150424A	0.3	13.2	17.79	0.01148	R
150424A	0.3	15.54	6.225	0.8613	g*
150424A	0.3	15.54	8.997	0.3437	r*
150424A	0.3	15.54	10.82	0.4132	i*
150424A	0.3	15.54	14.26	0.5447	z*
150424A	0.3	15.54	11.54	5.776	J
150424A	0.3	15.54	11.75	0	H
150424A	0.3	21.295	6.701	0.3203	r*
150424A	0.3	21.295	8.593	0.2464	i*
150424A	0.3	21.295	20.24	0	Zg
150424A	0.3	16.0842	7.765	-0.1368	g*
150424A	0.3	17.4014	6.825	-0.1817	g*
150424A	0.3	18.6881	6.282	-0.1107	g*
150424A	0.3	43.3675	1.846	0.07049	g*
150424A	0.3	66.3611	1.426	0	g*
150424A	0.3	89.7828	0.6225	0	g*
150424A	0.3	114.38	0.4306	0	g*
150424A	0.3	161.938	1.714	0	g*
150424A	0.3	186.296	1.082	0	g*
150424A	0.3	234.094	0.8206	0	g*
150424A	0.3	16.0842	9.421	-0.2509	r*
150424A	0.3	17.4014	8.997	-0.2396	r*
150424A	0.3	18.6881	7.484	-0.1993	r*
150424A	0.3	43.495	2.302	0.0228	r*
150424A	0.3	66.3611	0.6825	0	r*
150424A	0.3	89.7828	1.062	0.1694	r*
150424A	0.3	114.38	0.3928	0	r*
150424A	0.3	161.938	1.082	0	r*
150424A	0.3	186.359	0.8997	0	r*
150424A	0.3	234.156	0.6225	0	r*
150424A	0.3	16.0842	10.33	-0.08814	i*
150424A	0.3	17.4014	10.43	-0.1837	i*
150424A	0.3	18.715	9.165	-0.07817	i*
150424A	0.3	43.495	2.411	0.1622	i*
150424A	0.3	66.3611	1.082	0	i*
150424A	0.3	89.7828	0.8997	0	i*
150424A	0.3	114.38	0.5677	0	i*
150424A	0.3	161.938	1.426	0	i*
150424A	0.3	186.359	1.186	0	i*
150424A	0.3	234.156	0.7484	0	i*
150424A	0.3	16.0842	11.97	0.007733	z*
150424A	0.3	17.4014	10.82	-0.09223	z*
150424A	0.3	18.715	9.685	0.006251	z*
150424A	0.3	43.4319	3.517	0.2022	z*
150424A	0.3	66.3611	1.426	0	z*
150424A	0.3	89.7828	1.186	0	z*
150424A	0.3	114.38	0.6825	0	z*
150424A	0.3	161.938	1.88	0	z*
150424A	0.3	186.359	2.478	0	z*
150424A	0.3	234.156	0.9866	0	z*
150424A	0.3	16.0914	6.763	0.8651	J
150424A	0.3	17.4083	5.422	0.6935	J
150424A	0.3	18.7219	4.679	0.7966	J
150424A	0.3	43.5017	2.411	0	J
150424A	0.3	66.3678	2.643	0	J
150424A	0.3	89.8142	2.898	0	J
150424A	0.3	114.386	1.829	0	J
150424A	0.3	186.365	2.411	0	J
150424A	0.3	234.163	1.829	0	J
150424A	0.3	43.5017	2.455	0	H
150424A	0.3	66.3678	2.455	0	H
150424A	0.3	89.8142	2.692	0	H
150424A	0.3	114.386	1.699	0	H
150424A	0.3	186.365	2.455	0	H
150424A	0.3	234.163	2.239	0	H
150424A	0.3	43.565	4.679	0	Ks
150424A	0.3	66.3678	7.415	0	Ks
150424A	0.3	89.7894	8.131	0	Ks
150424A	0.3	114.386	5.13	0	Ks
150424A	0.3	186.365	4.679	0	Ks
150424A	0.3	234.289	3.237	0	Ks
150424A	0.3	0.1211	4.854	0	uvu
150424A	0.3	0.8019	7.693	0	uvu
150424A	0.3	1.7767	9.597	1.634	uvu
150424A	0.3	0.9456	6.952	0.7462	uvu
150424A	0.3	12.6642	4.854	0	uvu
150424A	0.3	27.6	6.399	0	uvu
150424A	0.3	51.5578	7.693	0	uvu
150424A	0.3	220.91	4.854	0	uvu
150424A	0.3	387.388	2.323	0	uvu
150424A	0.3	0.1844	117.5	0	uvb
150424A	0.3	1.6344	28.98	5.565	uvb
150424A	0.3	1.0094	18.63	0	uvb
150424A	0.3	4.4906	26.92	0	uvb
150424A	0.3	4.4906	16.99	0	uvb
150424A	0.3	35.9467	22.39	0	uvb
150424A	0.3	0.0228	385.6	0	uvv
150424A	0.3	0.205	243.3	0	uvv
150424A	0.3	1.2075	88.33	0	uvv
150424A	0.3	1.6061	55.73	0	uvv
150424A	0.3	0.9058	46.36	0	uvv
150424A	0.3	3.355	42.28	0	uvv
150424A	0.3	5.6375	35.17	0	uvv
150424A	0.3	9.6503	42.28	0	uvv
150424A	0.3	44.6922	42.28	0	uvv
150424A	0.3	0.7703	3.964	0	uvw1
150424A	0.3	4.9817	2.819	0.3606	uvw1
150424A	0.3	11.7344	1.197	0	uvw1
150424A	0.3	25.7381	1.313	0	uvw1
150424A	0.3	49.4342	1.73	0	uvw1
150424A	0.3	207.41	0.9957	0	uvw1
150424A	0.3	364.036	0.8282	0	uvw1
150424A	0.3	0.1983	8.752	0	uvw2
150424A	0.3	0.9303	2.198	0	uvw2
150424A	0.3	0.8739	1.154	0	uvw2
150424A	0.3	3.1444	1.453	0.1559	uvw2
150424A	0.3	8.1253	1.164	0.04448	uvw2
150424A	0.3	35.9161	0.6055	0	uvw2
150424A	0.3	59.8933	0.6639	0	uvw2
150424A	0.3	119.762	0.3821	0	uvw2
150424A	0.3	359.838	0.3484	0	uvw2
150424A	0.3	0.2117	15.78	0	uvm2
150424A	0.3	1.4636	2.281	0	uvm2
150424A	0.3	0.9378	1.439	0	uvm2
150424A	0.3	20.1128	1.197	0	uvm2
150424A	0.3	48.1072	0.8282	0	uvm2
150424A	0.3	143.458	0.6888	0	uvm2
150424A	0.3	340.146	0.7553	0	uvm2
150424A	0.3	0.0483	5.677	0.9665	uvwhite
150424A	0.3	0.1669	9.866	0	uvwhite
150424A	0.3	0.2472	7.909	0.7686	uvwhite
150424A	0.3	1.4919	7.765	0.6765	uvwhite
150424A	0.3	2.3558	7.982	0.1536	uvwhite
150424A	0.3	2.9342	8.436	0.2419	uvwhite
150424A	0.3	4.7017	6.888	0.2631	uvwhite
150424A	0.3	8.9239	7.347	0.004737	uvwhite
150424A	0.3	81.2894	1.426	0	uvwhite
150424A	0.3	84.4175	1.564	0	uvwhite
150424A	0.3	87.4589	2.478	0	uvwhite
150424A	0.3	93.2061	2.26	0	uvwhite
150424A	0.3	99.7006	1.714	0	uvwhite
150424A	0.3	160.206	0.4075	0.07824	F125W
150424A	0.3	222.324	0.2411	0.04894	F125W
150424A	0.3	334.199	0.1549	0.03146	F125W
150424A	0.3	161.017	0.5036	0.0967	F160W
150424A	0.3	161.28	0.5945	0.1141	F160W
150424A	0.3	223.177	0.3091	0.05935	F160W
150424A	0.3	335.073	0.2323	0.04717	F160W
150424A	0.3	159.286	0.1521	0.03088	F606W
150424A	0.3	221.363	0.1242	0.02522	F606W
150424A	0.3	1.5567	19.32	-0.5145	g*
150424A	0.3	1.56	17.62	-0.3105	Rc
160821B	0.16	119.207	0.177	0.06202	Ks
160821B	0.16	196.008	0.1803	0	Ks
160821B	0.16	217.608	0.2108	0	Ks
160821B	0.16	0.95	2.964	0.1575	R
160821B	0.16	0.95	67.91	18.07	R
160821B	0.16	0.0211	6.729	0	uvwhite
160821B	0.16	0.08	10.96	0	uvu
160821B	0.16	0.0211	3.872	0	uvwhite
160821B	0.16	1.4111	87.08	0	uvv
160821B	0.16	1.6392	34.99	0	uvb
160821B	0.16	0.08	9.118	0	uvu
160821B	0.16	1.5253	12.94	0	uvw1
160821B	0.16	1.4681	10.76	0	uvm2
160821B	0.16	1.3542	5.969	0	uvw2
160821B	0.16	1.83	3.564	0.05358	R
160821B	0.16	86.4	0.1853	0.04932	F606W
